Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Income share held by highest 10%,SI.DST.10TH.10,Cameroon,CMR,..,31.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Canada,CAN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cayman Islands,CYM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Central African Republic,CAF,..,33.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Chad,TCD,..,..,29.5,..
Income share held by highest 10%,SI.DST.10TH.10,Channel Islands,CHI,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Chile,CHL,37.3,..,34.5,..
Income share held by highest 10%,SI.DST.10TH.10,China,CHN,29.4,28.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Colombia,COL,41.8,43.7,43.5,..
Income share held by highest 10%,SI.DST.10TH.10,Comoros,COM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Congo, Dem. Rep.",COD,35.7,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Congo, Rep.",COG,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Costa Rica,CRI,37,37.2,35.7,35.1
Income share held by highest 10%,SI.DST.10TH.10,Cote d'Ivoire,CIV,..,27.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Croatia,HRV,22.3,22.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cuba,CUB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Curacao,CUW,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cyprus,CYP,26.3,25.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Czechia,CZE,22.5,22.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Denmark,DNK,22.9,23.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Djibouti,DJI,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Dominica,DMA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Dominican Republic,DOM,30.4,30.2,28.3,..
Income share held by highest 10%,SI.DST.10TH.10,Ecuador,ECU,36,34.7,34.3,33.2
Income share held by highest 10%,SI.DST.10TH.10,"Egypt, Arab Rep.",EGY,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,El Salvador,SLV,..,29,28.7,..
Income share held by highest 10%,SI.DST.10TH.10,Equatorial Guinea,GNQ,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Eritrea,ERI,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Estonia,EST,23.5,24.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Eswatini,SWZ,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ethiopia,ETH,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Faroe Islands,FRO,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Fiji,FJI,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Finland,FIN,22.6,22.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,France,FRA,24.5,24.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,French Polynesia,PYF,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Gabon,GAB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Gambia, The",GMB,30.5,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Georgia,GEO,26.2,26.2,25.2,..
Income share held by highest 10%,SI.DST.10TH.10,Germany,DEU,25,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ghana,GHA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Gibraltar,GIB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Greece,GRC,25.2,24.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Greenland,GRL,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Grenada,GRD,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guam,GUM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guatemala,GTM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guinea,GIN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guinea-Bissau,GNB,..,26.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guyana,GUY,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Haiti,HTI,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Honduras,HND,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Hong Kong SAR, China",HKG,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Hungary,HUN,23.3,24.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Iceland,ISL,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,India,IND,26.2,25.5,..,..
Income share held by highest 10%,SI.DST.10TH.10,Indonesia,IDN,27.9,28.3,29,29.9
Income share held by highest 10%,SI.DST.10TH.10,"Iran, Islamic Rep.",IRN,27.6,27.2,26.8,..
Income share held by highest 10%,SI.DST.10TH.10,Iraq,IRQ,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ireland,IRL,23.8,24.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Isle of Man,IMN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Israel,ISR,26.2,26.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Italy,ITA,26.1,26.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Jamaica,JAM,..,29.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Japan,JPN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Jordan,JOR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kazakhstan,KAZ,24.2,24.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kenya,KEN,28.4,31.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kiribati,KIR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Korea, Dem. People's Rep.",PRK,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Korea, Rep.",KOR,24.8,24.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kosovo,XKX,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kuwait,KWT,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kyrgyz Republic,KGZ,24,24.2,22,..
Income share held by highest 10%,SI.DST.10TH.10,Lao PDR,LAO,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Latvia,LVA,27.5,26.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lebanon,LBN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lesotho,LSO,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Liberia,LBR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Libya,LBY,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Liechtenstein,LIE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lithuania,LTU,28.5,29.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Luxembourg,LUX,25,24.5,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Macao SAR, China",MAC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Madagascar,MDG,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Malawi,MWI,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Malaysia,MYS,..,30.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Maldives,MDV,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mali,MLI,..,28.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Malta,MLT,25.1,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Marshall Islands,MHL,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mauritania,MRT,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mauritius,MUS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mexico,MEX,35.1,..,34.4,..
Income share held by highest 10%,SI.DST.10TH.10,"Micronesia, Fed. Sts.",FSM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Moldova,MDA,..,22.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Monaco,MCO,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mongolia,MNG,..,..,24.6,..
Income share held by highest 10%,SI.DST.10TH.10,Montenegro,MNE,25.4,24.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Morocco,MAR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mozambique,MOZ,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Myanmar,MMR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Namibia,NAM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nauru,NRU,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nepal,NPL,..,..,24.2,..
Income share held by highest 10%,SI.DST.10TH.10,Netherlands,NLD,21.6,21.4,..,..
Income share held by highest 10%,SI.DST.10TH.10,New Caledonia,NCL,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,New Zealand,NZL,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nicaragua,NIC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Niger,NER,..,27.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nigeria,NGA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,North Macedonia,MKD,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Northern Mariana Islands,MNP,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Norway,NOR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Oman,OMN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Pakistan,PAK,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Palau,PLW,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Panama,PAN,..,39.3,..,36.9
Income share held by highest 10%,SI.DST.10TH.10,Papua New Guinea,PNG,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Paraguay,PRY,33.3,33.1,35.4,..
Income share held by highest 10%,SI.DST.10TH.10,Peru,PER,32.9,30.5,30.7,..
Income share held by highest 10%,SI.DST.10TH.10,Philippines,PHL,..,32.5,..,..
Income share held by highest 10%,SI.DST.10TH.10,Poland,POL,22.8,22.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Portugal,PRT,26.9,27.5,..,..
Income share held by highest 10%,SI.DST.10TH.10,Puerto Rico,PRI,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Qatar,QAT,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Romania,ROU,24.2,24,..,..
Income share held by highest 10%,SI.DST.10TH.10,Russian Federation,RUS,25.7,26.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Rwanda,RWA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Samoa,WSM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,San Marino,SMR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sao Tome and Principe,STP,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Saudi Arabia,SAU,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Senegal,SEN,..,28.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Serbia,SRB,27.1,25.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Seychelles,SYC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sierra Leone,SLE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Singapore,SGP,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sint Maarten (Dutch part),SXM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Slovak Republic,SVK,19,19.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Slovenia,SVN,20.5,20.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Solomon Islands,SLB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Somalia,SOM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,South Africa,ZAF,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,South Sudan,SSD,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Spain,ESP,25,24.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sri Lanka,LKA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Kitts and Nevis,KNA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Lucia,LCA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Martin (French part),MAF,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Vincent and the Grenadines,VCT,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sudan,SDN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Suriname,SUR,..,..,30.1,..
Income share held by highest 10%,SI.DST.10TH.10,Sweden,SWE,22.4,22.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Switzerland,CHE,26.4,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Syrian Arab Republic,SYR,..,..,21.1,..
Income share held by highest 10%,SI.DST.10TH.10,Tajikistan,TJK,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tanzania,TZA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Thailand,THA,27,27.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Timor-Leste,TLS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Togo,TGO,..,29.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tonga,TON,..,22,..,..
Income share held by highest 10%,SI.DST.10TH.10,Trinidad and Tobago,TTO,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tunisia,TUN,..,27,..,..
Income share held by highest 10%,SI.DST.10TH.10,Turkiye,TUR,33,34.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Turkmenistan,TKM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Turks and Caicos Islands,TCA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tuvalu,TUV,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Uganda,UGA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ukraine,UKR,21.7,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,United Arab Emirates,ARE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,United Kingdom,GBR,24.6,24.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,United States,USA,29.1,29.7,30.2,..
Income share held by highest 10%,SI.DST.10TH.10,Uruguay,URY,29.9,30.8,30.5,..
Income share held by highest 10%,SI.DST.10TH.10,Uzbekistan,UZB,..,..,23.2,..
Income share held by highest 10%,SI.DST.10TH.10,Vanuatu,VUT,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Venezuela, RB",VEN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Viet Nam,VNM,28.5,..,28.1,..
Income share held by highest 10%,SI.DST.10TH.10,Virgin Islands (U.S.),VIR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,West Bank and Gaza,PSE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Yemen, Rep.",YEM,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Zambia,ZMB,..,..,39.1,..
Income share held by highest 10%,SI.DST.10TH.10,Zimbabwe,ZWE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Africa Eastern and Southern,AFE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Africa Western and Central,AFW,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Arab World,ARB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Caribbean small states,CSS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Central Europe and the Baltics,CEB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Early-demographic dividend,EAR,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,East Asia & Pacific,EAS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,East Asia & Pacific (excluding high income),EAP,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Euro area,EMU,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Europe & Central Asia,ECS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Europe & Central Asia (excluding high income),ECA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,European Union,EUU,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Fragile and conflict affected situations,FCS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Heavily indebted poor countries (HIPC),HPC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,High income,HIC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,IBRD only,IBD,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,IDA & IBRD total,IBT,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,IDA blend,IDB,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,IDA only,IDX,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,IDA total,IDA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Late-demographic dividend,LTE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Latin America & Caribbean,LCN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Latin America & Caribbean (excluding high income),LAC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Least developed countries: UN classification,LDC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Low & middle income,LMY,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Low income,LIC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lower middle income,LMC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Middle East & North Africa,MEA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Middle East & North Africa (excluding high income),MNA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Middle income,MIC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,North America,NAC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Not classified,INX,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,OECD members,OED,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Other small states,OSS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Pacific island small states,PSS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Post-demographic dividend,PST,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Pre-demographic dividend,PRE,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Small states,SST,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,South Asia,SAS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,South Asia (IDA & IBRD),TSA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sub-Saharan Africa,SSF,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Upper middle income,UMC,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,World,WLD,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Afghanistan,AFG,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Albania,ALB,38,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Algeria,DZA,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,American Samoa,ASM,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Andorra,AND,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Angola,AGO,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Antigua and Barbuda,ATG,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Argentina,ARG,47.7,47.8,46.6,..
Income share held by highest 20%,SI.DST.05TH.20,Armenia,ARM,35.5,37.7,37.3,..
Income share held by highest 20%,SI.DST.05TH.20,Aruba,ABW,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Australia,AUS,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Austria,AUT,37.8,38.4,..,..
Income share held by highest 20%,SI.DST.05TH.20,Azerbaijan,AZE,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,"Bahamas, The",BHS,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bahrain,BHR,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bangladesh,BGD,..,..,42,..
Income share held by highest 20%,SI.DST.05TH.20,Barbados,BRB,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Belarus,BLR,34.8,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Belgium,BEL,35.5,36,..,..
Income share held by highest 20%,SI.DST.05TH.20,Belize,BLZ,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Benin,BEN,..,42.3,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bermuda,BMU,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bhutan,BTN,..,..,37.3,..
Income share held by highest 20%,SI.DST.05TH.20,Bolivia,BOL,49,46.7,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bosnia and Herzegovina,BIH,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Botswana,BWA,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Brazil,BRA,54.7,57.5,56.9,..
Income share held by highest 20%,SI.DST.05TH.20,British Virgin Islands,VGB,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Brunei Darussalam,BRN,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bulgaria,BGR,47.4,45.6,..,..
Income share held by highest 20%,SI.DST.05TH.20,Burkina Faso,BFA,..,45.3,..,..
Income share held by highest 20%,SI.DST.05TH.20,Burundi,BDI,45,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cabo Verde,CPV,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cambodia,KHM,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cameroon,CMR,..,47.9,..,..
Income share held by highest 20%,SI.DST.05TH.20,Canada,CAN,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cayman Islands,CYM,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Central African Republic,CAF,..,49.2,..,..
Income share held by highest 20%,SI.DST.05TH.20,Chad,TCD,..,..,44.9,..
Income share held by highest 20%,SI.DST.05TH.20,Channel Islands,CHI,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Chile,CHL,53.3,..,49.9,..
Income share held by highest 20%,SI.DST.05TH.20,China,CHN,44.7,43.6,..,..
Income share held by highest 20%,SI.DST.05TH.20,Colombia,COL,57.9,59.8,59.6,..
Income share held by highest 20%,SI.DST.05TH.20,Comoros,COM,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,"Congo, Dem. Rep.",COD,51.1,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,"Congo, Rep.",COG,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Costa Rica,CRI,54.4,54.1,52.7,52.1
Income share held by highest 20%,SI.DST.05TH.20,Cote d'Ivoire,CIV,..,43.3,..,..
Income share held by highest 20%,SI.DST.05TH.20,Croatia,HRV,37.3,37.1,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cuba,CUB,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Curacao,CUW,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cyprus,CYP,40.6,40.1,..,..
Income share held by highest 20%,SI.DST.05TH.20,Czechia,CZE,36.5,36.3,..,..
Income share held by highest 20%,SI.DST.05TH.20,Denmark,DNK,37,37.8,..,..
Income share held by highest 20%,SI.DST.05TH.20,Djibouti,DJI,..,..,..,..
